email_id,ground_truth,prediction,match
email_001,BL_COMPARISON,BL_COMPARISON,True
email_002,INVOICE_QUERY,INVOICE_QUERY,True
email_003,BL_COMPARISON,BL_COMPARISON,True
email_004,BL_COMPARISON,BL_COMPARISON,True
email_005,BL_COMPARISON,BL_COMPARISON,True
email_006,BL_COMPARISON,BL_COMPARISON,True
email_007,SI_REQUEST,SI_REQUEST,True
email_008,SI_REQUEST,SI_REQUEST,True
email_009,BL_COMPARISON,BL_COMPARISON,True
email_010,INVOICE_QUERY,INVOICE_QUERY,True
email_011,GENERAL,GENERAL,True
email_012,GENERAL,GENERAL,True
email_013,BL_COMPARISON,BL_COMPARISON,True
email_014,SI_REQUEST,SI_REQUEST,True
email_015,SPAM,SPAM,True
email_016,BL_COMPARISON,BL_COMPARISON,True
email_017,INVOICE_QUERY,INVOICE_QUERY,True
email_018,BL_COMPARISON,BL_COMPARISON,True
email_019,SI_REQUEST,SI_REQUEST,True
email_020,SI_REQUEST,SI_REQUEST,True
email_021,GENERAL,GENERAL,True
email_022,SI_REQUEST,SI_REQUEST,True
email_023,SI_REQUEST,SI_REQUEST,True
email_024,INVOICE_QUERY,INVOICE_QUERY,True
email_025,BL_COMPARISON,BL_COMPARISON,True
email_026,SPAM,SPAM,True
email_027,SI_REQUEST,SI_REQUEST,True
email_028,SI_REQUEST,SI_REQUEST,True
email_029,SI_REQUEST,SI_REQUEST,True
email_030,SI_REQUEST,SI_REQUEST,True
email_031,BL_COMPARISON,BL_COMPARISON,True
email_032,BL_COMPARISON,BL_COMPARISON,True
email_033,SI_REQUEST,SI_REQUEST,True
email_034,BL_COMPARISON,BL_COMPARISON,True
email_035,SI_REQUEST,SI_REQUEST,True
email_036,BL_COMPARISON,BL_COMPARISON,True
email_037,GENERAL,GENERAL,True
email_038,BL_COMPARISON,BL_COMPARISON,True
email_039,SI_REQUEST,SI_REQUEST,True
email_040,BL_COMPARISON,BL_COMPARISON,True
email_041,INVOICE_QUERY,INVOICE_QUERY,True
email_042,SI_REQUEST,SI_REQUEST,True
email_043,BL_COMPARISON,BL_COMPARISON,True
email_044,BL_COMPARISON,BL_COMPARISON,True
email_045,INVOICE_QUERY,INVOICE_QUERY,True
email_046,BL_COMPARISON,BL_COMPARISON,True
email_047,BL_COMPARISON,BL_COMPARISON,True
email_048,INVOICE_QUERY,INVOICE_QUERY,True
email_049,BL_COMPARISON,BL_COMPARISON,True
email_050,BL_COMPARISON,BL_COMPARISON,True
email_051,BL_COMPARISON,BL_COMPARISON,True
email_052,BL_COMPARISON,BL_COMPARISON,True
email_053,GENERAL,GENERAL,True
email_054,SI_REQUEST,SI_REQUEST,True
email_055,BL_COMPARISON,BL_COMPARISON,True
email_056,BL_COMPARISON,BL_COMPARISON,True
email_057,SI_REQUEST,SI_REQUEST,True
email_058,BL_COMPARISON,BL_COMPARISON,True
email_059,BL_COMPARISON,BL_COMPARISON,True
email_060,INVOICE_QUERY,INVOICE_QUERY,True
email_061,BL_COMPARISON,BL_COMPARISON,True
email_062,INVOICE_QUERY,INVOICE_QUERY,True
email_063,BL_COMPARISON,BL_COMPARISON,True
email_064,BL_COMPARISON,BL_COMPARISON,True
email_065,BL_COMPARISON,BL_COMPARISON,True
email_066,BL_COMPARISON,BL_COMPARISON,True
email_067,SI_REQUEST,SI_REQUEST,True
email_068,BL_COMPARISON,BL_COMPARISON,True
email_069,INVOICE_QUERY,INVOICE_QUERY,True
email_070,GENERAL,GENERAL,True
email_071,BL_COMPARISON,BL_COMPARISON,True
email_072,SPAM,SPAM,True
email_073,SI_REQUEST,SI_REQUEST,True
email_074,INVOICE_QUERY,INVOICE_QUERY,True
email_075,GENERAL,GENERAL,True
email_076,GENERAL,GENERAL,True
email_077,BL_COMPARISON,BL_COMPARISON,True
email_078,INVOICE_QUERY,INVOICE_QUERY,True
email_079,SI_REQUEST,SI_REQUEST,True
email_080,BL_COMPARISON,BL_COMPARISON,True
email_081,BL_COMPARISON,BL_COMPARISON,True
email_082,BL_COMPARISON,BL_COMPARISON,True
email_083,GENERAL,GENERAL,True
email_084,SI_REQUEST,SI_REQUEST,True
email_085,INVOICE_QUERY,INVOICE_QUERY,True
